"","ID","Contributor","vowels","cons","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family_Glottocode","Family_Name"
"1729","nava1243","66",18,36,"Navajo","North America",36.2106,-110.082,"nava1243","nav","atha1245","Athabaskan-Eyak-Tlingit"
"1730","nava1243","484",16,31,"Navajo","North America",36.2106,-110.082,"nava1243","nav","atha1245","Athabaskan-Eyak-Tlingit"
"1731","nawd1238","796",14,21,"Nawdm","Africa",7.17037,0.58553,"nawd1238","nmz","atla1278","Atlantic-Congo"
"1732","nawu1242","1660",11,29,"Nawuri","Africa",8.45116,0.04947,"nawu1242","naw","atla1278","Atlantic-Congo"
"1733","naxi1245","485",11,38,"Naxi","Eurasia",27.5,100,"naxi1245","nxq","sino1245","Sino-Tibetan"
"1734","ncan1245","1600",24,17,"Ncane","Africa",6.50696,10.5312,"ncan1245","ncr","atla1278","Atlantic-Congo"
"1735","ndai1238","1348",25,32,"Ndai","Africa",8.09039,14.2888,"ndai1238","gke","atla1278","Atlantic-Congo"
"1736","ndal1241","1471",14,17,"Ndali","Africa",-9.88948,33.6118,"ndal1241","ndh","atla1278","Atlantic-Congo"
"1737","ndam1239","1611",5,19,"Ndamba","Africa",-8.40485,36.0271,"ndam1239","ndj","atla1278","Atlantic-Congo"
"1738","ndem1249","950",23,30,"Ndemli","Africa",4.58061,10.2197,"ndem1249","nml","atla1278","Atlantic-Congo"
"1739","ndog1248","1436",9,29,"Ndogo","Africa",7.73028,27.5588,"ndog1248","ndz","atla1278","Atlantic-Congo"
"1740","ndon1254","1506",7,29,"Ndonga","Africa",-17.6417,19.1631,"ndon1254","ndo","atla1278","Atlantic-Congo"
"1741","ndon1254","1507",7,29,"Ndonga","Africa",-17.6417,19.1631,"ndon1254","ndo","atla1278","Atlantic-Congo"
"1742","ndon1254","1269",5,25,"Ndonga","Africa",-17.6417,19.1631,"ndon1254","ndo","atla1278","Atlantic-Congo"
"1743","ndon1254","1505",7,29,"Ndonga","Africa",-17.6417,19.1631,"ndon1254","ndo","atla1278","Atlantic-Congo"
"1744","ndut1239","487",7,27,"Ndut","Africa",14.925,-16.9811,"ndut1239","ndv","atla1278","Atlantic-Congo"
"1745","ndzw1235","1547",7,32,"Ndzwani Comorian","Africa",-12.2123,44.3709,"ndzw1235","wni","atla1278","Atlantic-Congo"
"1746","nene1249","2402",8,27,"Tundra Nenets","Eurasia",66.1775,71.0234,"nene1249","yrk","ural1272","Uralic"
"1747","nene1249","638",8,27,"Tundra Nenets","Eurasia",66.1775,71.0234,"nene1249","yrk","ural1272","Uralic"
"1748","nene1249","2482",9,26,"Tundra Nenets","Eurasia",66.1775,71.0234,"nene1249","yrk","ural1272","Uralic"
"1749","nene1249","2603",9,24,"Tundra Nenets","Eurasia",66.1775,71.0234,"nene1249","yrk","ural1272","Uralic"
"1750","nene1249","185",8,26,"Tundra Nenets","Eurasia",66.1775,71.0234,"nene1249","yrk","ural1272","Uralic"
"1751","nepa1253","868",5,34,"Nepali Kurux","Eurasia",26.72057,86.00255,"nepa1253","kxl","drav1251","Dravidian"
"1752","nepa1254","2342",15,29,"Nepali","Eurasia",28,85,"nepa1254","npi","indo1319","Indo-European"
"1753","nepa1254","1772",12,35,"Nepali","Eurasia",28,85,"nepa1254","npi","indo1319","Indo-European"
"1754","nepa1254","2204",21,53,"Nepali","Eurasia",28,85,"nepa1254","npi","indo1319","Indo-European"
"1755","newa1246","489",8,24,"Kathmandu Valley Newari","Eurasia",27.2614,84.9577,"newa1246","new","sino1245","Sino-Tibetan"
"1756","nezp1238","490",5,25,"Nez Perce","North America",46.3073,-116.408,"nezp1238","nez","saha1239","Sahaptian"
"1757","nezp1238","81",10,26,"Nez Perce","North America",46.3073,-116.408,"nezp1238","nez","saha1239","Sahaptian"
"1758","ngaa1240","2962",6,17,"Ngaanyatjarra","Australia",-25.7514,127.602,"ngaa1240","ntj","pama1250","Pama-Nyungan"
"1759","ngad1258","2837",6,20,"Ngadjunmaya","Australia",-32.02447,124.46601,"ngad1258","nju","pama1250","Pama-Nyungan"
"1760","ngad1258","2838",6,20,"Ngadjunmaya","Australia",-32.02447,124.46601,"ngad1258","nju","pama1250","Pama-Nyungan"
"1761","ngad1261","1213",6,21,"Ngad'a","Papunesia",-8.79508,120.976,"ngad1261","nxg","aust1307","Austronesian"
"1762","ngal1292","2652",6,23,"Ngalkbun","Australia",-13.9783,133.936,"ngal1292","ngk","gunw1250","Gunwinyguan"
"1763","ngal1293","960",9,17,"Ngalakgan","Australia",-14.4281,134.716,"ngal1293","nig","gunw1250","Gunwinyguan"
"1764","ngal1293","2654",5,22,"Ngalakgan","Australia",-14.4281,134.716,"ngal1293","nig","gunw1250","Gunwinyguan"
"1765","ngam1268","799",16,18,"Ngambay","Africa",8.57051,15.414,"ngam1268","sba","cent2225","Central Sudanic"
"1766","ngan1291","494",9,20,"Nganasan","Eurasia",73.1354,86.2106,"ngan1291","nio","ural1272","Uralic"
"1767","ngan1291","2461",10,20,"Nganasan","Eurasia",73.1354,86.2106,"ngan1291","nio","ural1272","Uralic"
"1768","ngan1295","2655",9,26,"Ngandi","Australia",-12.8448,134.649,"ngan1295","nid","gunw1250","Gunwinyguan"
"1769","ngan1296","2990",3,14,"Nganyaywana","Australia",-29.581,151.313,"ngan1296","nyx","pama1250","Pama-Nyungan"
"1770","ngan1299","718",17,22,"Ngangam","Africa",10.2523,0.70509,"ngan1299","gng","atla1278","Atlantic-Congo"
"1771","ngan1300","1504",7,30,"Ngandyera","Africa",-16.6359,21.1928,"ngan1300","nne","atla1278","Atlantic-Congo"
"1772","ngar1235","2858",6,17,"Ngarinman","Australia",-15.4661,130.651,"ngar1235","nbj","pama1250","Pama-Nyungan"
"1773","ngar1283","2686",4,17,"Ngarnka","Australia",-17.42,134.73,"ngar1283","nji","mirn1241","Mirndi"
"1774","ngar1284","601",6,18,"Ngarinyin","Australia",-16.4006,126.433,"ngar1284","ung","worr1236","Worrorran"
"1775","ngar1284","3007",5,17,"Ngarinyin","Australia",-16.4006,126.433,"ngar1284","ung","worr1236","Worrorran"
"1776","ngar1287","2843",3,20,"Ngarluma","Australia",-20.9235,117.203,"ngar1287","nrl","pama1250","Pama-Nyungan"
"1777","ngar1296","2961",6,17,"Ngarla","Australia",-20.20748,119.30579,"ngar1296","nrk","pama1250","Pama-Nyungan"
"1778","ngar1297","2998",3,15,"Ngarigu","Australia",-36.23,149.13,"ngar1297","xni","pama1250","Pama-Nyungan"
"1779","ngas1238","1473",9,22,"Ngasa","Africa",-2.97716,37.528,"ngas1238","nsg","nilo1247","Nilotic"
"1780","ngas1240","125",14,30,"Ngas","Africa",9.32042,9.46146,"ngas1240","anc","afro1255","Afro-Asiatic"
"1781","ngas1240","657",12,24,"Ngas","Africa",9.32042,9.46146,"ngas1240","anc","afro1255","Afro-Asiatic"
"1782","ngas1240","223",11,32,"Ngas","Africa",9.32042,9.46146,"ngas1240","anc","afro1255","Afro-Asiatic"
"1783","ngaw1240","2834",3,19,"Ngawun","Australia",-19.4484,141.471,"ngaw1240","nxn","pama1250","Pama-Nyungan"
"1784","ngaw1240","2833",3,18,"Ngawun","Australia",-19.4484,141.471,"ngaw1240","nxn","pama1250","Pama-Nyungan"
"1785","ngaw1240","2831",3,19,"Ngawun","Australia",-19.4484,141.471,"ngaw1240","nxn","pama1250","Pama-Nyungan"
"1786","ngaz1238","1531",7,41,"Ngazidja Comorian","Africa",-11.6129,43.36,"ngaz1238","zdj","atla1278","Atlantic-Congo"
"1787","ngba1285","800",12,22,"Ngbaka Minagende","Africa",2.98887,18.994,"ngba1285","nga","atla1278","Atlantic-Congo"
"1788","ngem1255","936",11,29,"Ngemba","Africa",5.97864,10.1469,"ngem1255","nge","atla1278","Atlantic-Congo"
"1789","ngie1241","802",11,17,"Ngiemboon","Africa",5.56777,10.1266,"ngie1241","nnh","atla1278","Atlantic-Congo"
"1790","ngie1241","1628",11,19,"Ngiemboon","Africa",5.56777,10.1266,"ngie1241","nnh","atla1278","Atlantic-Congo"
"1791","ngit1239","1470",12,44,"Ngiti","Africa",1.30455,30.2242,"ngit1239","niy","cent2225","Central Sudanic"
"1792","ngiz1242","491",6,34,"Ngizim","Africa",12.1051,11.0178,"ngiz1242","ngi","afro1255","Afro-Asiatic"
"1793","ngko1236","2916",7,19,"Ngkoth","Australia",-12.740575,141.886762,"ngko1236","","pama1250","Pama-Nyungan"
"1794","ngom1271","963",22,37,"Ngombale","Africa",5.70306,10.1446,"ngom1271","nla","atla1278","Atlantic-Congo"
"1795","ngom1272","1411",8,19,"Ngomba","Africa",5.63067,10.237,"ngom1272","jgo","atla1278","Atlantic-Congo"
"1796","ngos1238","959",8,26,"Ngoshie","Africa",6.04616,9.83193,"ngos1238","nsh","atla1278","Atlantic-Congo"
"1797","ngwe1238","1286",14,24,"Ngwe","Africa",5.49787,9.9028,"ngwe1238","nwe","atla1278","Atlantic-Congo"
"1798","nhan1238","2770",6,27,"Nhanda","Australia",-27.42523643,114.2680442,"nhan1238","nha","pama1250","Pama-Nyungan"
"1799","nhen1239","2097",4,19,"Nhengatu","South America",1.04503,-66.9646,"nhen1239","yrl","tupi1275","Tupian"
"1800","nhuw1239","2844",6,20,"Nhuwala","Australia",-21.38154,115.74542,"nhuw1239","nhf","pama1250","Pama-Nyungan"
"1801","nias1242","1674",6,19,"Nias","Papunesia",0.90691,97.4961,"nias1242","nia","aust1307","Austronesian"
"1802","niel1243","493",13,23,"Niellim","Africa",9.70362,17.81346,"niel1243","nie","atla1278","Atlantic-Congo"
"1803","niel1243","1623",34,25,"Niellim","Africa",9.70362,17.81346,"niel1243","nie","atla1278","Atlantic-Congo"
"1804","nige1253","1254",10,47,"Hausa States Fulfulde","Africa",10.9972,11.1188,"nige1253","fuv","atla1278","Atlantic-Congo"
"1805","nige1253","1301",10,28,"Hausa States Fulfulde","Africa",10.9972,11.1188,"nige1253","fuv","atla1278","Atlantic-Congo"
"1806","nige1255","774",18,25,"Western Mambila","Africa",6.69736,11.3161,"nige1255","mzk","atla1278","Atlantic-Congo"
"1807","nige1257","1134",9,23,"Nigerian Pidgin","Africa",9.65873,4.21068,"nige1257","pcm","indo1319","Indo-European"
"1808","nija1241","2846",5,20,"Nyiyaparli","Australia",-22.8558,120.831,"nija1241","xny","pama1250","Pama-Nyungan"
"1809","nija1241","2847",6,20,"Nyiyaparli","Australia",-22.8558,120.831,"nija1241","xny","pama1250","Pama-Nyungan"
"1810","nima1245","2698",6,17,"Nimanbur","Australia",-17.374,123.228,"nima1245","nmp","nyul1248","Nyulnyulan"
"1811","nina1238","541",12,13,"Ninam","South America",4.03894,-62.7801,"nina1238","shb","yano1268","Yanomamic"
"1812","nina1238","2132",6,12,"Ninam","South America",4.03894,-62.7801,"nina1238","shb","yano1268","Yanomamic"
"1813","ning1273","980",7,14,"Ningil","Papunesia",-3.49733,142.251,"ning1273","niz","nucl1708","Nuclear Torricelli"
"1814","nisg1240","1130",10,32,"Nisga'a","North America",55.199,-129.192,"nisg1240","ncg","tsim1258","Tsimshian"
"1815","niva1238","270",6,22,"Nivaclé","South America",-22.8557,-61.7606,"niva1238","cag","mata1289","Matacoan"
"1816","niva1238","1983",6,22,"Nivaclé","South America",-22.8557,-61.7606,"niva1238","cag","mata1289","Matacoan"
